type,sensor,value,timestamp
"watt","meanPerHour",197,1406012420
"watt","meanPerHour",274,1406016030
"watt","meanPerHour",286,1406019634
"watt","meanPerHour",321,1406023333
"watt","meanPerHour",319,1406026814
"watt","meanPerHour",209,1406030411
"watt","meanPerHour",190,1406034046
"watt","meanPerHour",280,1406037621
"watt","meanPerHour",275,1406041245
"watt","meanPerHour",279,1406044916
"watt","meanPerHour",251,1406048412
"watt","meanPerHour",670,1406052105
"watt","meanPerHour",262,1406055697
"watt","meanPerHour",301,1406059213
"watt","meanPerHour",1379,1406062904
"watt","meanPerHour",2335,1406066405
"watt","meanPerHour",1184,1406070011
"watt","meanPerHour",779,1406073613
"watt","meanPerHour",226,1406077287
"watt","meanPerHour",220,1406080869
"watt","meanPerHour",221,1406084476
"watt","meanPerHour",218,1406088014
"watt","meanPerHour",1031,1406091613
"watt","meanPerHour",279,1406095203
"watt","meanPerHour",224,1406098852
"watt","meanPerHour",279,1406102426
"watt","meanPerHour",282,1406106022
"watt","meanPerHour",366,1406109622
"watt","meanPerHour",244,1406113224
"watt","meanPerHour",208,1406116875
"watt","meanPerHour",230,1406120487
"watt","meanPerHour",293,1406124114
"watt","meanPerHour",290,1406127629
"watt","meanPerHour",289,1406131386
"watt","meanPerHour",238,1406134800
"watt","meanPerHour",695,1406138426
"watt","meanPerHour",1112,1406142054
"watt","meanPerHour",269,1406145633
"watt","meanPerHour",1356,1406149342
"watt","meanPerHour",2435,1406152801
"watt","meanPerHour",1372,1406156433
"watt","meanPerHour",833,1406160043
"watt","meanPerHour",688,1406163622
"watt","meanPerHour",213,1406167277
"watt","meanPerHour",206,1406170821
"watt","meanPerHour",207,1406174453
"watt","meanPerHour",351,1406178044
"watt","meanPerHour",490,1406181655
"watt","meanPerHour",400,1406185233
"watt","meanPerHour",287,1406188835
"watt","meanPerHour",279,1406192405
"watt","meanPerHour",294,1406196080
"watt","meanPerHour",283,1406199627
"watt","meanPerHour",259,1406203213
"watt","meanPerHour",271,1406206851
"watt","meanPerHour",304,1406210411
"watt","meanPerHour",318,1406214021
"watt","meanPerHour",406,1406217603
"watt","meanPerHour",323,1406221258
"watt","meanPerHour",627,1406224889
"watt","meanPerHour",322,1406228427
"watt","meanPerHour",289,1406232043
"watt","meanPerHour",1401,1406235707
"watt","meanPerHour",2481,1406239206
"watt","meanPerHour",1658,1406242813
"watt","meanPerHour",301,1406246450
"watt","meanPerHour",1503,1406250013
"watt","meanPerHour",232,1406253630
"watt","meanPerHour",279,1406257251
"watt","meanPerHour",266,1406260814
"watt","meanPerHour",251,1406264413
"watt","meanPerHour",332,1406268089
"watt","meanPerHour",866,1406271600
"watt","meanPerHour",510,1406275216
"watt","meanPerHour",278,1406278843
"watt","meanPerHour",597,1406282481
"watt","meanPerHour",207,1406286012
